true_$A_{rew}$ (Reward L-Rate),est_$A_{rew}$ (Reward L-Rate),true_$A_{pun}$ (Punish L-Rate),est_$A_{pun}$ (Punish L-Rate),true_$K'$ (Decay Rate),est_$K'$ (Decay Rate),true_$\beta_F$ (Freq Weight),est_$\beta_F$ (Freq Weight),true_$\beta_P$ (Perseverance),est_$\beta_P$ (Perseverance),err_$A_{rew}$ (Reward L-Rate),abs_err_$A_{rew}$ (Reward L-Rate),err_$A_{pun}$ (Punish L-Rate),abs_err_$A_{pun}$ (Punish L-Rate),err_$K'$ (Decay Rate),abs_err_$K'$ (Decay Rate),err_$\beta_F$ (Freq Weight),abs_err_$\beta_F$ (Freq Weight),err_$\beta_P$ (Perseverance),abs_err_$\beta_P$ (Perseverance),global_error
0.2899138242609227,0.2671720723346856,0.4499783221650215,0.378576050424463,1.9695276666596928,0.0029818229141883,-7.254935792226981,-7.30597284455448,4.00809621295749,1.9190692117573016,-0.022741751926237,0.0227873265793958,-0.0714022717405585,0.0715453624654895,-1.966545843745504,0.3933091687491008,-0.0510370523274996,0.0025518526163749,-2.089027001200188,0.1044513500600094,0.1850657720088711
0.1577490604757673,0.1643027627502948,0.3065086893579004,0.3399658258125378,4.749386210337942,0.0138685970408249,-5.807819212278566,-5.141509662674698,7.79693431366751,0.7444870753083555,0.0065537022745275,0.0065668359464203,0.0334571364546374,0.033524184824286,-4.735517613297117,0.9471035226594232,0.6663095496038673,0.0333154774801933,-7.0524472383591545,0.3526223619179577,0.452465364000539
0.6804590902284586,0.6891431654840385,0.5343318159740622,0.3854611985675789,4.678152141968216,1.6260877212376694,9.756071306685708,10.0,3.411277271547018,-10.0,0.0086840752555799,0.0087014782120039,-0.1488706174064832,0.1491689553171175,-3.052064420730546,0.6104128841461092,0.2439286933142916,0.0121964346657145,-13.411277271547018,0.6705638635773509,0.4110317822843836
0.8914381499714353,0.999,0.2630405194502711,0.2342519121321136,3.918856771986689,2.703555930652736,-2.6628779500510245,-2.59596705862854,-3.080278725754164,-10.0,0.1075618500285646,0.1077774048382411,-0.0287886073181574,0.0288462999179934,-1.2153008413339532,0.2430601682667906,0.0669108914224843,0.0033455445711242,-6.919721274245836,0.3459860637122918,0.1955729390084983
0.8161368032820612,0.6460340222721223,0.387094441426649,0.5467579681386897,1.1166117066319357,1.5598625000959931,7.057563349907429,5.647496460802556,0.829873401367589,3.883978256318889,-0.1701027810099389,0.1704436683466322,0.1596635267120406,0.1599834936994395,0.4432507934640575,0.0886501586928115,-1.4100668891048738,0.0705033444552436,3.0541048549513,0.152705242747565,0.1347547592584124
0.4683691260892284,0.5943362194996951,0.0533140456239975,0.0582842117509514,4.142426853289418,0.0145803434982707,-8.223086074374454,-7.686249049385037,-8.814308142592317,-4.668677033733863,0.1259670934104666,0.1262195324754174,0.0049701661269539,0.0049801263797133,-4.127846509791147,0.8255693019582294,0.5368370249894161,0.0268418512494708,4.145631108858455,0.2072815554429227,0.3850212909900452
0.6968664939640923,0.8469150043405375,0.9070532043639458,0.9686331816153588,1.914381230981748,0.2085548903732618,-6.59855125102013,-8.895718817779905,-5.502375542461912,-2.768573456456372,0.1500485103764451,0.1503492087940332,0.061579977251413,0.0617033840194519,-1.705826340608486,0.3411652681216972,-2.297167566759775,0.1148583783379887,2.7338020860055403,0.136690104300277,0.1869131156687761
0.4448096532056026,0.6686186063618833,0.4236643931227391,0.5355360713548656,2.041685678936182,0.7934191128192507,2.420887534859059,3.668793970106152,-9.705728924537642,-8.062095140653302,0.2238089531562807,0.2242574680924656,0.1118716782321264,0.1120958699720706,-1.2482665661169314,0.2496533132233863,1.247906435247093,0.0623953217623546,1.64363378388434,0.082181689194217,0.1648215271620157
0.7865010411875466,0.999,0.7514711902275966,0.7892000337140673,3.613060679874587,0.0369383915926365,-0.0573777046678358,0.6082861044536507,-0.9421179480750156,-5.730158382048076,0.2124989588124534,0.212924808429312,0.0377288434864707,0.0378044523912532,-3.57612228828195,0.71522445765639,0.6656638091214866,0.0332831904560743,-4.788040433973061,0.239402021698653,0.3512074242539519
0.9594279676712574,0.9837011335381812,0.4965877239093223,0.4902572067857118,2.355168840439284,4.264539716270846,-9.851920851064689,-10.0,-0.9895112234646604,7.014476322024296,0.0242731658669237,0.0243218094858955,-0.0063305171236105,0.0063432035306718,1.9093708758315624,0.3818741751663125,-0.148079148935313,0.0074039574467656,8.003987545488958,0.4001993772744479,0.2476586491376308
0.3541986042205523,0.0742625572422259,0.4306715531616478,0.999,0.021076182753739,0.0219254212631955,4.879643264320459,7.152615066723819,3.918596798010297,10.0,-0.2799360469783263,0.2804970410604472,0.5683284468383523,0.5694673816015554,0.0008492385094565,0.0001698477018913,2.2729718024033607,0.113648590120168,6.081403201989703,0.3040701600994852,0.3188562001590272
0.762644230242347,0.9419205028860044,0.2437167765458515,0.2376982606061725,2.023836796290168,2.342930967650096,7.929384608188016,7.699200816822194,-5.532120316414001,-10.0,0.1792762726436574,0.1796355437311196,-0.006018515939679,0.0060305770938667,0.3190941713599282,0.0638188342719856,-0.230183791365822,0.0115091895682911,-4.467879683585999,0.2233939841792999,0.1314651844797819
0.0829679965241315,0.2632417098406623,0.1759905585287716,0.098440245955078,4.362937142153632,0.1801845624821829,4.809034533642837,5.859331906243559,0.9114823582725312,-2.614694113096661,0.1802737133165308,0.180634983283097,-0.0775503125736936,0.0777057240217371,-4.182752579671448,0.8365505159342896,1.0502973726007223,0.0525148686300361,-3.526176471369192,0.1763088235684596,0.3930207513953118
0.5030661869343507,0.4926285237153915,0.9437044259122828,0.8787216703327839,4.921703429020418,1.275522247204875,-6.464956791259027,-5.285008551208734,-1.5647332472599516,2.416863151869836,-0.0104376632189591,0.0104585803797186,-0.0649827555794989,0.0651129815425841,-3.646181181815544,0.7292362363631086,1.179948240050293,0.0589974120025146,3.981596399129788,0.1990798199564893,0.340366872662678
0.4251240346312555,0.5225697203483345,0.768645064374103,0.7184018918057513,3.00447360960073,1.5024891037791026,9.858668822860896,10.0,7.888111326724868,7.929531132292322,0.0974456857170789,0.0976409676523837,-0.0502431725683516,0.0503438602889295,-1.5019845058216272,0.3003969011643254,0.1413311771391043,0.0070665588569552,0.0414198055674539,0.0020709902783726,0.1430809465420372
0.9505415526493886,0.7495084663442284,0.0061649851379245,0.0025899834307423,0.7134483266303797,1.7611560273042848,-4.121090006299825,-5.272250159336414,4.221580590550252,10.0,-0.2010330863051601,0.2014359582216033,-0.0035750017071821,0.0035821660392606,1.047707700673905,0.209541540134781,-1.1511601530365887,0.0575580076518294,5.778419409449748,0.2889209704724874,0.1850865665810765
0.8811392160670719,0.7660536487983425,0.5438160013819855,0.5130147200940105,1.2392319330240398,1.7772005229676902,-5.462309801273308,-6.147823497612366,4.47957703967327,10.0,-0.1150855672687294,0.1153161996680655,-0.0308012812879749,0.0308630073025801,0.5379685899436504,0.10759371798873,-0.6855136963390587,0.0342756848169529,5.52042296032673,0.2760211480163365,0.1436588013302422
0.3342767153816541,0.996999381795224,0.010805707812006,0.088428778973402,0.974733090336864,0.2886853780116712,5.791023872324557,-2.713811000343705,7.8376302949529055,10.0,0.6627226664135699,0.6640507679494688,0.077623071161396,0.0777786284182325,-0.6860477123251929,0.1372095424650385,-8.504834872668262,0.4252417436334131,2.1623697050470945,0.1081184852523547,0.362866240749402
0.4297471568040816,0.3020601113273231,0.7831146448852419,0.639913783228803,4.593837150297356,2.1697532960267205,-8.331306330940098,-10.0,-3.70576311228365,-10.0,-0.1276870454767584,0.1279429313394373,-0.1432008616564388,0.143487837331101,-2.424083854270635,0.484816770854127,-1.668693669059902,0.0834346834529951,-6.29423688771635,0.3147118443858175,0.274958304418227
0.6177206118881111,0.5128275803709363,0.1076048645872226,0.066529234255717,1.013816275644478,0.0,5.595012248483355,10.0,4.579938777902719,10.0,-0.1048930315171747,0.1051032379931611,-0.0410756303315055,0.0411579462239534,-1.013816275644478,0.2027632551288956,4.404987751516645,0.2202493875758322,5.4200612220972815,0.271003061104864,0.1875132297520483
0.3814506327464595,0.4156209360003993,0.0358808443883122,0.1213083147482453,2.338131929307702,1.7648071590175345,9.529524941025644,10.0,-5.942033438058074,-10.0,0.0341703032539397,0.0342387808155709,0.085427470359933,0.0855986676953237,-0.5733247702901678,0.1146649540580335,0.4704750589743547,0.0235237529487177,-4.057966561941926,0.2028983280970963,0.1125775965363192
0.069030208363319,0.0092943356487304,0.0124814844564846,0.0361871362866122,1.6321726704186188,0.0032501903905714,2.696736436858716,10.0,-0.5768714990319559,-7.415877932669699,-0.0597358727145885,0.0598555838823532,0.0237056518301275,0.0237531581464204,-1.6289224800280473,0.3257844960056094,7.303263563141284,0.3651631781570642,-6.839006433637743,0.3419503216818871,0.2685355136519448
0.4641691521623602,0.5683639776826945,0.0167039548707343,0.0836880180245393,0.520156238393192,0.0,8.764410449184574,10.0,9.199097705085816,10.0,0.1041948255203343,0.1044036327859061,0.0669840631538049,0.0671182997533116,-0.520156238393192,0.1040312476786384,1.2355895508154262,0.0617794775407713,0.8009022949141844,0.0400451147457092,0.0795585322318751
0.834550561638131,0.5741227668031166,0.3102457168960037,0.3614775308158459,0.8976662353704052,1.1240902340772334,0.4935832620812022,0.2901319637927566,7.42284855711755,10.0,-0.2604277948350144,0.2609496942234613,0.0512318139198422,0.0513344828856134,0.2264239987068281,0.0452847997413656,-0.2034512982884456,0.0101725649144222,2.5771514428824496,0.1288575721441224,0.1337822410575355
0.4356394769975058,0.5800204133013327,0.0754656806828918,0.0316875599055914,1.4412663414258098,1.5470307662150284,1.3346707336499826,1.1298071026539942,-3.1960039988607303,-4.149275051986622,0.1443809363038268,0.1446702768575419,-0.0437781207773004,0.0438658524822649,0.1057644247892186,0.0211528849578437,-0.2048636309959883,0.0102431815497994,-0.953271053125892,0.0476635526562946,0.0716629382347039
0.9576050784805245,0.8682307859253248,0.0604639444101423,0.001,4.817477368814888,5.0,-0.2473502362023012,-1.234467742957577,1.2326721510034755,5.77511200971955,-0.0893742925551995,0.0895533993539074,-0.0594639444101423,0.0595831106314051,0.1825226311851118,0.0365045262370223,-0.9871175067552758,0.0493558753377637,4.542439858716074,0.2271219929358037,0.1156917809955679
0.2516480421119588,0.1365845073969802,0.9876432948484324,0.999,4.814930136402908,2.97612669604959,1.6140624705085749,2.308265019292348,-6.418977158534307,10.0,-0.1150635347149786,0.1152941229609004,0.0113567051515675,0.0113794640797269,-1.8388034403533184,0.3677606880706636,0.6942025487837729,0.0347101274391886,16.418977158534307,0.8209488579267153,0.4059142695102737
