$\alpha$ (Shape),$\lambda$ (Loss Aversion),$a$ (Learning Rate),$c$ (Consistency),Pattern
0.723466682309405,2.6863484206970454,0.7953204911538626,3.6634760002160607,GOB
0.8387463727979001,1.7876539499785473,0.45468184363821434,0.8766488490189392,GOB
0.9896851710418504,0.5651617358029851,0.10390690652458862,1.7116539320569448,BOG
0.3558787932298525,4.529014227076651,0.9040094249331352,4.484439505359543,GOB
0.7430793076692128,0.9211160647509511,0.024464686641562167,3.3420691234128688,GOB
0.5771531649727191,3.2035051409008304,0.14689399919139523,4.404023051278515,GOB
0.6371521397789285,3.210014714346994,0.7522097349397097,1.2619684134880378,GOB
0.9220347431687788,0.869478353772921,0.7589365536633161,4.6441136057453605,GOB
0.7940936152253334,2.097696505878676,0.5245788134939517,2.372178466406113,GOB
0.286871743069562,1.986039802587789,0.36559562097080317,1.902536111049518,GOB
0.314259939723851,4.917267430185733,0.17894101863488002,4.195342006128972,GOB
0.14555788998048114,4.320048188899756,0.2862016145907872,3.383092512194203,GOB
0.5652046467622517,0.2581813027050601,0.78370810267509,4.33959377366274,BOG
0.20036650737307996,4.180705732293135,0.956087500304206,1.8208915891750037,GOB
0.6825314808242507,0.5409493417181656,0.34625988347327125,4.404242707729316,GOB
0.519826541241711,1.8664291673881677,0.41715985937096967,3.957966322165021,GOB
0.7236659091114229,3.4683832758276245,0.9277275640681941,3.4266985906740817,GOB
0.37435457089678315,2.4298552316927067,0.4061072074798039,4.729100570501186,GOB
0.5292942183764944,0.6438113949882754,0.08845130378098455,0.2434216327658259,Remaining
0.7552725871377481,2.8304685583757405,0.1853717861293029,1.6120379609150106,GOB
0.46953692893268945,4.455989390244954,0.1268861944222509,0.9408116383634685,GOB
0.14422609273605713,0.8075047606679012,0.639274154259805,3.370025653598075,IOF
0.37409368166871704,1.2918853496649314,0.7310767555630119,0.18199208844754647,Remaining
0.6686188086111603,1.6520770349219858,0.6558749248928426,2.8422724453988195,GOB
0.41063202681482575,0.026373092205022715,0.19250876654151577,2.5261082899747627,GOB
0.12502666807584964,4.4311992702238285,0.616488296504826,3.879473435817694,GOB
0.2834977720847722,1.858457695741782,0.37391605004268974,0.9948246214535025,GOB
0.3177891192761827,0.5663804780717875,0.7365124527505909,4.712945248179113,GOB
0.5464861156216325,1.0916770974335437,0.9459985450237969,0.8740753445921128,GOB
0.3819883897672391,1.1290475151121135,0.19136917008698612,1.5702616794812352,GOB
0.7217992089376317,4.144098923648013,0.28202079289357224,2.818487622580056,GOB
0.73335150349955,0.15553521840927034,0.21966383924084681,2.9708828338375777,BOG
0.06999795461844827,0.8009563564788265,0.5974939912259085,2.6021688644745766,Remaining
0.7147666621963082,0.6775171600058443,0.0436706871581955,3.41287926005275,BOG
0.04275355259127011,2.3775556236073,0.36587545183526143,1.2170867214704935,IOF
0.36379660907999584,0.98254266396703,0.8931980011906333,4.088352779607976,GOB
0.9898783949298129,4.038792173579347,0.1297349410419353,3.5426159048054466,GOB
0.7201412751636911,2.6351282344280573,0.1785703434347512,2.5013518515260653,GOB
0.4999690609443331,4.464854806730357,0.293221515362815,0.6733535931705055,GOB
0.10265686015281307,2.9496904367559313,0.15603012173033218,4.185406858317532,GOB
0.7440706533292418,4.0702973596433685,0.8515590035681402,2.9454693474147633,GOB
