true_A (Shape),true_w (Loss Aversion),true_a (Learning Rate),true_c (Consistency),kl_div_A (Shape),post_std_A (Shape),ess_A (Shape),kl_div_w (Loss Aversion),post_std_w (Loss Aversion),ess_w (Loss Aversion),kl_div_a (Learning Rate),post_std_a (Learning Rate),ess_a (Learning Rate),kl_div_c (Consistency),post_std_c (Consistency),ess_c (Consistency),post_corr_A (Shape)_w (Loss Aversion),post_corr_A (Shape)_a (Learning Rate),post_corr_A (Shape)_c (Consistency),post_corr_w (Loss Aversion)_a (Learning Rate),post_corr_w (Loss Aversion)_c (Consistency),post_corr_a (Learning Rate)_c (Consistency),max_post_corr,mean_kl_div,min_ess
0.1064631571079987,0.5539699716239397,0.2053668747995811,4.479597648595116,0.7319564743057043,0.1346327755520261,293.55802323585925,0.9165242927308688,0.5296700530289417,270.8558377822585,1.002525247147938,0.0980162641696535,331.23723594782155,0.080164605954532,1.2939521870998985,268.2366120490231,-0.1492700313644344,-0.0830683943738602,-0.8780839593906694,-0.6656757873857008,0.401816077178083,-0.0641185552523038,0.8780839593906694,0.6827926550347607,268.2366120490231
0.2671952621239093,2.908315307169666,0.920462225922297,2.4658273012185994,0.3382979490070283,0.1872434375646387,325.2496106424584,0.253861852356662,1.0330791098509209,269.4180534787094,0.5616103487163588,0.1457790327842991,342.55740694973554,0.0312333696001982,1.3470921734292884,291.8812625686683,-0.1005072432310802,-0.8624733361201697,-0.1785221479910765,-0.3081240541865604,0.0237578505988298,0.1405917868996336,0.8624733361201697,0.2962508799200619,269.4180534787094
0.4979094989433932,1.4526136682335873,0.5929299873268667,3.3031724173671235,0.276579050762441,0.1934028230907569,273.19938409517385,0.2745600163217763,1.035805361866592,226.72679701947544,0.4215671690572377,0.169377557133013,284.48487494909983,0.0546483329043352,1.2571514018484646,322.89858663288,-0.0886574108260923,-0.8875733105298459,-0.1662314195181181,-0.1413994487627968,0.0994171236413603,0.0461462749757155,0.8875733105298459,0.2568386422614476,226.72679701947544
0.2674820527577819,0.6938066116993099,0.5093901842500443,3.212754354600774,0.1585839806059137,0.2166594885523722,252.9578364844552,1.2524985227297185,0.471069224460746,243.4390029695226,0.0578012948983728,0.2720874463451784,236.84374293649373,0.1310063532930807,1.2042724535494158,326.04344720853624,-0.0897685321769161,-0.1322974815170141,-0.2806680092983613,-0.5694986729520048,0.1672763333941235,-0.0442097247403942,0.5694986729520048,0.3999725378817714,236.84374293649373
0.4199031552270862,2.160644780717874,0.9986819442225092,4.545194154037286,0.3935222355320212,0.1814594371200829,301.1839871039092,0.2763016642383418,1.0323561728478792,261.79269055045137,0.5823182082786861,0.1493943902011841,271.5492834328623,0.017057249051446,1.3380932866515356,265.2570159493514,-0.0310843690660655,-0.4474439336635538,-0.1788427026935213,-0.2157837495167162,-0.0327198762389331,0.039326267135693,0.4474439336635538,0.3172998392751237,261.79269055045137
0.4542375342191464,1.0072829336518474,0.8429234933852617,1.822199444101423,0.4279871431498559,0.1665164650262088,304.4289245776563,2.2101601120812,0.1378550581833743,338.4050117757251,0.5632562023205927,0.1501360122402229,334.5985831559054,0.021842546311922,1.3902515402060402,334.78589436348983,-0.2168432136740502,-0.1486301308386983,-0.5873342658705051,-0.743663217697861,0.0790422262670397,0.2640411399072647,0.743663217697861,0.8058115009658926,304.4289245776563
0.884290955308596,1.4369243114427943,0.3130829650482589,2.6282822234545296,0.5510306255849489,0.1505733385343805,336.2899889103745,1.7051661326415983,0.2218441289298179,370.7929325509599,0.4712996786980983,0.1537177678240171,385.2884350053839,0.0643952824088778,1.254190799281442,317.2689570766717,0.5344560293850193,-0.6818674358678453,-0.1800031413425122,-0.8757812339149958,0.1005076497713654,-0.0211183672714937,0.8757812339149958,0.6979729298333809,317.2689570766717
0.7363823068037828,2.18011071928748,0.0117650200325518,0.5048901272520759,1.4708123222448937,0.0553753561733697,338.1599635716157,0.2807140447620719,0.9563035521931146,248.8310537975423,2.658046164259883,0.0221250426248888,222.12169472624208,2.4997149425483585,0.1049853248081583,222.22013677162383,-0.2642255183012403,-0.4677990866577142,0.0188262083528241,-0.2592844791440049,-0.0959050670618553,-0.5620928222467033,0.5620928222467033,1.727321868453802,222.12169472624208
0.0574376039357534,1.4019166742868177,0.499600550663712,3.9372678030852897,1.9061767472960145,0.0415382793394942,373.92488295777935,0.6894219919639937,0.6774222192615804,359.30115344901964,1.2162637183285725,0.0717528913845842,395.837135019609,0.4817396287160764,0.761124359439424,335.2775650238316,-0.3592345903824658,-0.4073430712086741,-0.2586898394393633,-0.0733716045605988,-0.6059479318395862,-0.0316066712119997,0.6059479318395862,1.0734005215761644,335.2775650238316
0.0949266729270073,4.671498201785527,0.0775641772852716,1.616406622689362,1.2308609188986497,0.0725356260391113,346.75547892974004,0.5765559452058289,0.7626403567337249,391.39628855781183,1.7124629170184706,0.0470729512679711,257.9397677190924,0.649518480413549,0.7306821128844517,268.8303505959631,-0.1579842162843349,-0.0513444665023593,-0.5765294467139414,-0.0003802495121152,-0.1264319524895682,-0.5930722852905034,0.5930722852905034,1.0423495653841246,257.9397677190924
