A (Shape),w (Loss Aversion),a (Learning Rate),c (Consistency),Pattern
0.9082970576976496,3.0680469851379244,0.440588553734563,0.0847064158108948,GOB
0.5899576478464476,3.5981260847923617,0.75246736856635,2.311234693831598,GOB
0.472340753267191,0.4471028942796962,0.3275810317089854,0.2440995031163342,BOG
0.6726954303773398,4.009394038471521,0.5599092185236937,0.2251751568040816,GOB
0.7320430377628034,3.899700482815452,0.9645603391868792,0.7676305706364316,GOB
0.6909133919377215,2.243342864587223,0.7789208509737061,1.1135391111993194,GOB
0.4263515146855469,3.407254531365303,0.5538962476842544,1.9257871330898173,GOB
0.4217362969161539,1.7304505314409022,0.331435464497285,3.0837881420572675,GOB
0.2796908813099344,3.605695085084703,0.0813109721595836,2.8284491521623605,GOB
0.930506045005244,0.6998155781714869,0.0494456634469272,0.7259228016905565,GOB
0.6961808203726669,3.150571716896004,0.6763618585288823,0.82884480557555,GOB
0.1397568858871526,3.3458875442422378,0.0241797522797721,4.998363715855305,GOB
0.7896663167681954,2.413044511125868,0.584714554574875,1.0704579444101423,GOB
0.5857968783522606,0.0163268987858975,0.0344794542949344,4.605463159426717,BOG
0.079224866112214,0.6709896281412349,0.7775872184580348,2.6387830397891383,GOB
0.6800485630921315,1.3418500513925566,0.8757889844814091,0.7663316390921852,GOB
0.5943279850232228,1.901556717834121,0.928540631360674,3.7649423431684874,GOB
0.723466682309405,2.6863484206970454,0.7953204911538626,3.6634760002160607,GOB
0.8387463727979001,1.787653949978547,0.4546818436382143,0.8766488490189392,GOB
0.9896851710418504,0.5651617358029851,0.1039069065245886,1.7116539320569448,BOG
0.3558787932298525,4.529014227076651,0.9040094249331352,4.484439505359543,GOB
0.7430793076692128,0.9211160647509512,0.0244646866415621,3.3420691234128688,GOB
0.5771531649727191,3.2035051409008304,0.1468939991913952,4.404023051278515,GOB
0.6371521397789285,3.210014714346994,0.7522097349397097,1.2619684134880378,GOB
0.9220347431687788,0.869478353772921,0.7589365536633161,4.6441136057453605,GOB
0.7940936152253334,2.097696505878676,0.5245788134939517,2.372178466406113,GOB
