true_A (Shape),true_w (Loss Aversion),true_a (Learning Rate),true_c (Consistency),rmsse_median,rmsse_p90,n_successful,convergence_rate,bias_A (Shape),std_A (Shape),shapiro_p_A (Shape),bias_w (Loss Aversion),std_w (Loss Aversion),shapiro_p_w (Loss Aversion),bias_a (Learning Rate),std_a (Learning Rate),shapiro_p_a (Learning Rate),bias_c (Consistency),std_c (Consistency),shapiro_p_c (Consistency),pct_normal,shapiro_p_median,corr_A (Shape)_w (Loss Aversion),corr_A (Shape)_a (Learning Rate),corr_A (Shape)_c (Consistency),corr_w (Loss Aversion)_a (Learning Rate),corr_w (Loss Aversion)_c (Consistency),corr_a (Learning Rate)_c (Consistency),max_error_corr,nll_median
0.2674820527577819,0.6938066116993099,0.5093901842500443,3.212754354600774,0.2203869702824554,0.4847998745238775,100,1.0,0.2498915332856538,0.3602292994395931,1.7541648531974786e-11,-0.2044284653612998,0.3640896976812653,1.659874467720882e-08,0.0949455061659743,0.3028792446998208,6.578349850400928e-07,0.9136520324675586,1.231707520811002,2.7986696517895528e-12,0.0,8.308143162870397e-09,-0.850647403826297,0.0445897126336837,0.254423574294137,-0.3043593629341699,-0.4815007820231506,0.322886199739933,0.850647403826297,12.434727418090954
0.4199031552270862,2.160644780717874,0.9986819442225092,4.545194154037286,0.4109212600478005,0.4963954053339055,100,1.0,0.503430828314899,0.1406220980414469,7.132210230305398e-15,1.9787991676024608,1.178449586392912,1.0506357163751047e-11,-0.0557452165439683,0.1245547520007425,2.250041711352348e-16,-1.00286285336344,1.5058702958721233,5.9609321972630474e-09,0.0,5.256744686990677e-12,0.2187898223606275,0.2017270008333697,0.2060906768854446,0.2397756506730564,0.2457097823841955,0.3744699927699556,0.3744699927699556,3.1780538303479458
0.4542375342191464,1.0072829336518474,0.8429234933852617,1.822199444101423,0.3418994009270174,0.5045388220091178,100,1.0,0.2343415007447195,0.2501789503457196,6.338690990370555e-07,0.4001176186249286,0.7097454562615023,7.446718232014911e-13,-0.2434055582236053,0.2760967741157835,8.164124649315657e-05,1.7684601470161518,1.8286196324618973,2.2751655375337493e-12,0.0,3.169356871012965e-07,0.2404259079793772,-0.5269584657424451,-0.2667862894599521,-0.6282128349872397,0.0698860161493209,-0.0070090261213712,0.6282128349872397,5.588806247626894
0.884290955308596,1.4369243114427943,0.3130829650482589,2.6282822234545296,0.238688191581602,0.2527557284827083,100,1.0,0.000901887612117,0.0610599519902572,9.569021586820243e-11,-0.0402054276850597,0.3863040113396137,3.435347855209026e-14,0.0279203227503228,0.1423530663068048,5.179290946016749e-15,1.6718360722882528,1.4464910769280044,1.86307147467274e-16,0.0,1.9766384749053502e-14,-0.2810647340824053,0.3771860599222265,-0.5322286560276099,-0.2949201105115105,0.6833897865957057,-0.4891366063687722,0.6833897865957057,3.1802921064158083
0.7363823068037828,2.18011071928748,0.0117650200325518,0.5048901272520759,0.1170009317509177,0.2915111166216184,100,1.0,-0.0478998448172785,0.093545929775664,0.5441460874621141,0.9376700525910856,1.4375413555837817,4.754468297049426e-08,0.0210255364664672,0.0474936548453428,3.806300530494073e-16,-0.0120787460356949,0.3139330171873682,6.341789007319748e-05,25.0,3.1732717378083986e-05,-0.5590111555224827,-0.1035530702389321,-0.4381710060882609,-0.1192979329536378,0.206245800420793,-0.5042479261731244,0.5590111555224827,107.95453487516504
0.0574376039357534,1.4019166742868177,0.499600550663712,3.9372678030852897,0.1089101283719483,0.1818650094664061,100,1.0,0.022700239285575,0.0657736322987397,3.2105656523202405e-07,0.0828517519461155,0.3287652486557157,0.0584935890708305,-0.0013126194157834,0.1255663120573849,3.6289057371584185e-08,-0.12940115490785,0.9987689641389736,1.866116527655029e-05,25.0,9.491110920891158e-06,0.078453884757153,-0.5113969737073586,-0.7956330324693024,-0.5310692655995447,-0.2404502809913698,0.2936567453201553,0.7956330324693024,48.404049348172464
0.0949266729270073,4.671498201785527,0.0775641772852716,1.616406622689362,0.1010679132649627,0.2752221491468159,100,1.0,0.0074713751358753,0.0780888369140185,1.2037057930538906e-05,-0.2779969639814599,1.0312835147924693,2.054915842678169e-14,0.022896956026976,0.0700497581152417,4.8453946580523e-08,0.3414111081596375,0.9805028766454074,1.993903872087613e-06,0.0,1.021178909334068e-06,-0.1352151298140864,-0.3709451707084109,-0.1159590884166022,-0.3491373955293154,-0.1142999849650215,-0.4543348687513328,0.4543348687513328,107.91032427246655
0.726195457647178,1.074158195607053,0.035932272478492,3.764393650308798,0.1903785880728915,0.5318791642206374,100,1.0,0.1774806799392009,0.1325755868782339,4.2105798129625344e-12,-0.6118809995807563,0.4634834575370924,2.866168573066548e-09,0.4066489300915348,0.4382885320614227,3.0369898433374494e-12,0.7277795644149844,0.9067438546423446,1.4196581948862652e-14,0.0,3.623784828149992e-12,-0.7260400193266299,0.5212110669693168,-0.2459975913425452,-0.7680004310978151,-0.1287617986628801,0.4025084257287004,0.7680004310978151,2.4849066830616247
0.3012644243642504,2.834810064037204,0.8381059588874472,0.0635611711621958,0.2464954101084934,0.4442711848563112,100,1.0,0.0340953236357656,0.2204222942438403,0.0046813442924333,-0.1073426853656241,1.952767965690584,9.04306050176487e-11,-0.1534599132276783,0.3168890185790816,3.1707516951604286e-08,0.1835697522346388,0.3472511428760116,4.0853463960555925e-14,0.0,1.5898973778310968e-08,-0.1288098579492811,-0.4497107933668081,-0.4264081278133569,-0.094503410123136,-0.3572779966154451,-0.0996090125062263,0.4497107933668081,132.18295966283935
0.549075255347399,1.866918285170912,0.3007340765211876,3.612331792018464,0.1499454470850804,0.2995623367490926,100,1.0,0.078666299062128,0.1436055881377969,0.0001674934379828,0.3861815486565624,0.8845386297083361,8.178318609203107e-16,-0.0513591158315637,0.1036327721948223,0.1276694861805823,0.8141331786542527,1.0411673340201448,5.890172741983602e-15,25.0,8.374671899439358e-05,0.1555159580340837,-0.9600693580995898,-0.3197680073820094,-0.171016282085661,-0.1887537951476461,0.3260492631538706,0.9600693580995898,6.821495463221273
