true_$A_{rew}$ (Reward L-Rate),true_$A_{pun}$ (Punish L-Rate),true_$K'$ (Decay Rate),true_$\beta_F$ (Freq Weight),true_$\beta_P$ (Perseverance),rmsse_median,rmsse_p90,n_successful,convergence_rate,bias_$A_{rew}$ (Reward L-Rate),std_$A_{rew}$ (Reward L-Rate),shapiro_p_$A_{rew}$ (Reward L-Rate),bias_$A_{pun}$ (Punish L-Rate),std_$A_{pun}$ (Punish L-Rate),shapiro_p_$A_{pun}$ (Punish L-Rate),bias_$K'$ (Decay Rate),std_$K'$ (Decay Rate),shapiro_p_$K'$ (Decay Rate),bias_$\beta_F$ (Freq Weight),std_$\beta_F$ (Freq Weight),shapiro_p_$\beta_F$ (Freq Weight),bias_$\beta_P$ (Perseverance),std_$\beta_P$ (Perseverance),shapiro_p_$\beta_P$ (Perseverance),pct_normal,shapiro_p_median,corr_$A_{rew}$ (Reward L-Rate)_$A_{pun}$ (Punish L-Rate),corr_$A_{rew}$ (Reward L-Rate)_$K'$ (Decay Rate),corr_$A_{rew}$ (Reward L-Rate)_$\beta_F$ (Freq Weight),corr_$A_{rew}$ (Reward L-Rate)_$\beta_P$ (Perseverance),corr_$A_{pun}$ (Punish L-Rate)_$K'$ (Decay Rate),corr_$A_{pun}$ (Punish L-Rate)_$\beta_F$ (Freq Weight),corr_$A_{pun}$ (Punish L-Rate)_$\beta_P$ (Perseverance),corr_$K'$ (Decay Rate)_$\beta_F$ (Freq Weight),corr_$K'$ (Decay Rate)_$\beta_P$ (Perseverance),corr_$\beta_F$ (Freq Weight)_$\beta_P$ (Perseverance),max_error_corr,nll_median
0.0066480431001287,0.2219699868594976,2.4004079072715543,-2.7597929685448346,-7.192082391479429,0.1340095909694261,0.2484866947344387,100,1.0,0.0150534045660973,0.0300643194335907,1.3239015972780089e-12,0.0352017589904519,0.0772168152437559,2.4087595015456142e-06,-0.5778881508914558,1.2401503147369528,0.0004954885430326,0.5223371090856286,1.5892904675729056,0.3586503452336821,1.395605470162839,4.519129516850023,1.2700005641141604e-10,20.0,2.4087595015456142e-06,0.3283538397296661,-0.0717605375494656,0.0107962697030818,0.1180222365435159,-0.2512086974918296,0.1816969907909907,0.0567229152312065,0.0249376300039905,-0.4870557120612496,-0.0559123327057638,0.4870557120612496,119.85148814773216
0.8638370871824387,0.718663074441721,2.3346393196405235,8.610077161636806,-1.3193194868614366,0.2446200645308123,0.3170253033899576,100,1.0,-0.1177832161222797,0.2132640151101177,3.950184776646153e-05,0.1145365778407526,0.1443073805718033,4.66011297152707e-06,-1.268091893727337,1.2080082638432708,2.946013906693786e-09,1.0356384567320192,0.7569694059629449,4.0020118268749593e-16,0.7149257856871238,6.328333999416027,1.982993695654142e-05,0.0,4.66011297152707e-06,-0.1066967851123426,-0.0035111915907836,-0.2295458645593832,0.2720130761291924,0.1658009644894704,-0.1624350425914164,0.0335968113521772,-0.2384888766605833,0.1207874870488313,-0.0067027141347438,0.2720130761291924,14.93556568672482
0.190952416726638,0.7152304071240638,2.066940433758494,-9.863168782757676,0.7129290886824293,0.212934358168079,0.276210363633491,100,1.0,0.0243011324082133,0.0539821575680113,0.0416731430044743,0.0141603533002785,0.1030890822559213,0.5734976184302557,-0.585758721114889,1.2656089397618977,1.2226442546111023e-05,0.528557992516803,0.9018300540189051,2.3783767717786918e-11,1.867625156272044,6.91864848970615,4.018577622007213e-08,20.0,1.2226442546111023e-05,-0.2143121583510374,0.0342628873169893,0.3836700599479797,0.5739229609910381,-0.0338509084969233,-0.1621081101152446,-0.0928503943690692,-0.0018977661237166,0.4795345911884833,0.0383532849512697,0.5739229609910381,69.95660019333499
0.3369909730789394,0.2310181983163715,4.639630292727989,3.7827162784089934,7.64911950271556,0.4203358240875801,0.4733311532210528,100,1.0,-0.010435827799141,0.1559363473880719,0.01274635402424,0.0171647025544437,0.0952660016559049,1.8412179257151663e-14,-2.999872111686212,1.4626241326380265,4.773990219097522e-07,1.359025776152598,2.2604245919793025,1.7474397942942829e-06,-7.383398411179127,6.673380887982744,3.0850104712782542e-06,0.0,1.7474397942942829e-06,-0.3274661654039683,-0.0169000769827932,-0.4176650292224762,-0.367716735961948,-0.0912765320457522,0.0035030070374709,0.1903539179535058,-0.1592160026446767,0.1807944652993293,-0.1661714077570435,0.4176650292224762,40.179480298398175
0.8301701404540502,0.8340309061832966,0.9723467877606136,-9.166450162514076,8.078362121588572,0.0819675230937876,0.1312015207546708,100,1.0,0.0025720348975193,0.0834285063949546,0.2633096806355968,-0.0244104232071188,0.0822709649373024,0.0037183525712709,-0.103001953185163,0.3778598546421428,0.0220794482414942,-0.1918960082267231,1.0443040304784847,6.57821042946012e-14,-0.3429413728254438,2.636064051111309,1.0558405981375296e-10,20.0,0.0037183525712709,0.1736032100125393,0.1826230684600303,0.114743771769204,0.2689358192926676,0.6083348198250547,-0.0785982982674304,0.1813706416113599,0.1184498263567499,0.7133824054297326,-0.0212804300791724,0.7133824054297326,72.64616979925387
0.0020099943247879,0.1006789810385899,4.25804513490418,3.0700682300845887,-9.263074438339904,0.3843441481583602,0.4370032871057959,100,1.0,0.0457666845432393,0.0999723980518627,2.244925495002088e-16,0.0251927103958393,0.0532975945769995,1.0415915469217422e-05,-2.2872790006948582,1.7844263700284155,2.363216774893451e-08,-0.7371934331655047,2.559857195780382,0.0023878372655562,6.0016159378066,6.15242252580721,1.4212758963982484e-08,0.0,2.363216774893451e-08,0.6035615406292352,-0.1397715746707429,-0.3783761055235431,0.006994059666687,-0.1171360086576369,-0.3760491493630734,-0.0311816502036013,0.1899206974009886,-0.1286461889530672,-0.0210515334160277,0.6035615406292352,127.7102593043865
0.5177271199753107,0.7157174602437198,2.86411693751591,-2.949365853830436,0.7531215859225213,0.2510061884615425,0.3335672709918438,100,1.0,-0.0017446569464721,0.1697730883934674,0.0473978218939159,0.0204170796372579,0.1093695293641939,0.9839787913406508,-1.3644344878723793,1.3744744466994203,3.1883648389887886e-08,-0.1998876249791481,0.6897299828542701,0.009324907285881,-1.5373517394948697,7.246282631940165,4.6350949654399215e-08,20.0,0.009324907285881,-0.0405783453814025,0.0827139171416248,0.7187284320908363,0.4173522482152236,-0.1401008553044337,-0.0761683911330535,-0.092732248379926,-0.0678396789611776,0.3224971015144573,0.3940107672967609,0.7187284320908363,92.30628800014604
0.8253024834734247,0.06495471581037,4.352196985060906,7.768690590909991,-2.923309199996897,0.4971175351249721,0.5207439226384735,100,1.0,-0.1570541422503331,0.2746106818241041,1.290180805570332e-06,0.0477659605072429,0.1981766840607463,5.2351371168119876e-17,-3.55502642506688,1.1485500426315618,2.420410868464985e-12,1.392538129171068,2.84332579485488,2.8607579467373344e-19,8.79305350850736,6.869967846285946,1.5325882396183408e-14,0.0,1.5325882396183408e-14,-0.0064566303860616,0.3029181402853986,0.0992089245261359,-0.2999385513216652,-0.2144956848203909,-0.4988418557009512,0.1902470585050118,0.0832238351334948,-0.3764993020396265,-0.1218327507448194,0.4988418557009512,3.3434607329427912
0.5590974481952589,0.3920826157936159,0.6896482401781557,0.7771308779049573,-8.479681680221123,0.0791928267421087,0.2010800395542095,100,1.0,0.0287405992741583,0.205396258884185,0.0137031919888297,0.0424239612875714,0.1319030123842151,5.698938271986691e-05,-0.0444494203498056,0.1823142943125847,0.7048480757422354,0.1382662720049887,1.4781518841275303,7.79448160706732e-16,-0.1946420456530849,1.427837565265382,3.632752287565335e-09,20.0,5.698938271986691e-05,0.4894814204294067,-0.1623927103042812,-0.4385369019641321,-0.0379346741000503,-0.360657402701632,-0.3651489816718395,0.0427155798340025,0.2110000302075732,-0.5549525995099724,-0.2447865661989222,0.5549525995099724,87.07474274776752
0.2699271165764685,0.3743794895831019,2.2517687268258384,2.316438319796997,-2.7608644831952134,0.2003339729693389,0.3072612753464722,100,1.0,-0.0230051156909227,0.1537714682447629,8.459738433963484e-05,0.0124847021117905,0.1082028102045051,1.978614273838343e-07,-0.4881574914949223,1.4323985532378656,6.056153969389558e-06,1.0519265195441994,2.2215549464277813,2.019821840778604e-11,-0.3066072119823073,6.323273480654999,1.7918247492632656e-08,0.0,1.978614273838343e-07,0.3901236383126227,0.217570829455124,-0.6737110135930449,-0.2248408366760316,0.0688862515791479,-0.3551831265587942,-0.1482326224929799,-0.2273874547858066,-0.2225670685675741,0.1353362834034373,0.6737110135930449,83.1928588727678
