true_A (Shape),est_A (Shape),true_w (Loss Aversion),est_w (Loss Aversion),true_a (Learning Rate),est_a (Learning Rate),true_c (Consistency),est_c (Consistency),err_A (Shape),abs_err_A (Shape),err_w (Loss Aversion),abs_err_w (Loss Aversion),err_a (Learning Rate),abs_err_a (Learning Rate),err_c (Consistency),abs_err_c (Consistency),global_error
0.6578717430107763,0.6011556427042433,2.595353668101081,5.0,0.20829037103789994,0.23842520634623238,2.9692161562956314,2.7991608569152833,-0.05671610030653307,0.05728899020861926,2.404646331898919,0.4818930524847533,0.03013483530833244,0.030439227584174184,-0.17005529938034813,0.03407921831269502,0.24371647570944088
0.12083880196787672,0.15875975399531597,3.063918045935361,4.875401484749078,0.28154424257148225,0.1320518000725128,4.824628824297559,5.0,0.03792095202743925,0.03830399194690834,1.8114834388137173,0.36302273322920187,-0.14949244249896945,0.15100246717067622,0.1753711757024412,0.035144524188865975,0.19829875397513347
0.20195763106195466,0.08114419194989475,1.4142476535848332,1.5769819566718681,0.17441736607434657,0.41705185505496645,1.212045371456139,1.6841593437312137,-0.12081343911205991,0.1220337768808686,0.16273430308703496,0.03261208478698095,0.24263448898061987,0.24508534240466653,0.4721139722750747,0.09461201849199893,0.14575154362707948
0.3066885642466545,0.9318753041707205,1.5132070951929129,4.0645202971818115,0.8078648111177538,0.16721182665231232,4.900086208683562,2.6635164635907698,0.625186739924066,0.6315017574990566,2.551313201988899,0.5112852108194186,-0.6406529844654414,0.647124226732769,-2.236569745092792,0.44821036975807454,0.5656565514758511
0.2654610263788909,0.3508889809243426,2.9167633058496554,2.1370076842060644,0.2557350921250222,0.3050547268069801,1.381837177300387,1.1411645920065743,0.08542795454545171,0.08629086317722395,-0.779755621643591,0.15626365163198216,0.04931963468195788,0.04981781281005847,-0.24067258529381275,0.04823097901679614,0.09575030509002115
0.08574820825247023,0.0887081738746477,4.654872880991751,3.6015843225483852,0.9901615518095748,0.9134421919649072,0.7406770770186434,0.9507086079038798,0.002959965622177471,0.0029898642648257287,-1.0532885584433656,0.21107987143153617,-0.0767193598446676,0.07749430287340162,0.2100315308852364,0.04209048715134998,0.11439037055009085
0.2417551348530925,0.24642389298390688,2.804826149770585,1.598887560801533,0.689801746692631,0.7844157862367188,4.218961844711667,5.0,0.004668758130814382,0.004715917303852912,-1.2059385889690521,0.2416710599136377,0.09461403954408787,0.09556973691322007,0.781038155288333,0.15652067240247153,0.15170649012054638
0.938185477654298,1.0,3.7953821295614136,5.0,0.5447906427100835,1.0,0.5494381577485196,5.0,0.06181452234570195,0.062438911460305,1.2046178704385864,0.24140638686144014,0.4552093572899165,0.45980743160597626,4.4505618422514805,0.8918961607718398,0.5169809708880674
0.8472111585827735,1.0,4.03915535964374,5.0,0.5237025100162759,1.0,2.701245521935731,5.0,0.15278884141722648,0.15433216304770353,0.9608446403562603,0.19255403614353914,0.4762974899837241,0.48110857574113547,2.298754478064269,0.4606722400930398,0.35516892031474034
0.4829415785539994,1.0,2.6863394810528876,5.0,0.9709413096313705,1.0,3.4093444490153306,3.8054994976037526,0.5170584214460006,0.522281233783839,2.3136605189471124,0.46365942263469184,0.029058690368629514,0.029352212493565167,0.396155048588422,0.07938978929627695,0.3517534784417488
0.6751733364635036,0.8684225692731979,3.7362152576133356,4.985303840081061,0.5157339745018444,0.37010635030850486,4.620589444739468,2.7002995485469974,0.1932492328096943,0.19520124526231747,1.2490885824677251,0.2503183531999449,-0.14562762419333958,0.1470986102963026,-1.9202898961924708,0.3848276345075092,0.26004476226817197
0.5965206960553024,0.9749009520980277,0.6967690978035266,0.5224412273996141,0.8298885081542988,0.42038521119919825,4.0687676002469955,0.9099347064843308,0.3783802560427253,0.38220227883103564,-0.1743278704039125,0.03493544497072395,-0.40950329695510057,0.413639693894041,-3.1588328937626646,0.6330326440406141,0.42400683722221566
0.1849160324961055,0.7703457847398679,2.0960550320186018,0.01,0.10736360709470165,0.01,4.553319864925133,5.0,0.5854297522437624,0.5913431840846085,-2.086055032018602,0.4180471006049302,-0.09736360709470165,0.09834707787343601,0.4466801350748666,0.08951505712923177,0.368149165715001
0.782936594560338,1.0,0.1598217777273163,0.01,0.30007095038266957,1.0,3.4728358960092325,5.0,0.21706340543966196,0.21925596509056763,-0.14982177772731628,0.0300244043541716,0.6999290496173305,0.7069990400175056,1.5271641039907675,0.30604491061939226,0.40077605123882004
0.9091775672169018,1.0,2.249305945676069,2.097008782811498,0.19325723950640764,0.11168672911093429,0.3056644459829098,0.5230722586506155,0.0908224327830982,0.09173983109403859,-0.15229716286457107,0.03052047351995412,-0.08157051039547335,0.08239445494492258,0.21740781266770565,0.043568699933407944,0.06714680508520708
0.6783581154340304,0.4986382909426319,2.894751701267907,2.320431011573624,0.3134163302232174,0.4266930960934269,0.8091818188000478,1.9034274096309627,-0.17971982449139845,0.18153517625393784,-0.5743206896942832,0.11509432659204072,0.11327676587020952,0.11442097562647426,1.0942455908309148,0.21928769355328953,0.16384518335799442
