$A_{rew}$ (Reward L-Rate),$A_{pun}$ (Punish L-Rate),$K$ (Decay Rate),$\beta_F$ (Freq Weight),$\beta_P$ (Perseverance),Pattern
0.42791301719087704,0.7475888555628473,0.45200241996273705,-6.886803524040483,-8.854380851361654,GOB
0.23846023246106254,0.312991706367447,0.04250308340386966,5.103462532346747,-0.48146151385279623,GOB
0.931920993532898,0.07521088498407733,1.0699823312190002,-5.9418131196660005,-4.374538161059807,BOG
0.10412467882450917,0.03085609179840755,4.205040790727155,8.108084765382213,-6.3261634265477795,GOB
0.7781856056413277,0.24313535943896492,4.834961091119679,2.414698629077934,-6.512132169209403,GOB
0.631231103405765,0.7711082333372962,4.334409255205837,3.161386243163962,-0.85719753316606,GOB
0.4851814221364993,0.6977392305275052,3.3128445584359167,6.349530610227905,-8.173132987733,GOB
0.9976903267168747,0.7415575219047418,1.3162161758906243,-6.689753545034336,-6.925905029234347,BOG
0.9675796258610248,0.767928150343595,2.985622718160939,6.048389784123124,-8.643150359344917,GOB
0.5987650382027472,0.813858590721546,1.5098981058426855,7.40911484531366,-8.507821397712751,GOB
0.5517936586799658,0.8144831786904235,3.460964157248582,5.536160901910684,-2.4804120107365204,GOB
0.13332660061297638,0.9708625892498449,2.458360328564762,-0.9338204713696463,7.96193564879497,GOB
0.1713960110381739,0.04061653499235447,1.7218883996317507,-5.721538017511961,-2.908242113803306,BOG
0.6345906413307681,0.6829511323286518,0.7882867418036883,8.966423496891288,0.8103335614677238,GOB
0.8035912685227481,0.6943880307539487,3.8641372354362593,-6.868004932250047,-1.2780326694232507,BOG
0.5550104238800863,0.5638055144054623,3.913568672979854,-5.271122324550106,9.72063518517514,BOG
0.5779916344307343,0.26780083090798285,3.4897575171469715,-8.060084624045693,6.8731755253184765,BOG
0.1950205966752903,0.6809711851458858,3.844069615382411,9.935805722840612,2.6323666514005843,GOB
0.8613335730148972,0.46543916937929314,0.46695262597999454,0.9394471785134471,3.672324707225876,GOB
0.7299373517475485,0.24148041093382766,0.31296871648709834,-3.124442517870248,-7.6824805971465135,BOG
0.4837841688738157,0.841401985274734,1.0194098046172337,-8.08739774133236,0.9239810344283512,BOG
0.7347588674559152,0.4661440238303492,4.846768778112907,5.60890825044746,3.5845780338328375,GOB
