true_A (Shape),true_w (Loss Aversion),true_a (Learning Rate),true_c (Consistency),contraction_A (Shape),post_std_A (Shape),ess_A (Shape),contraction_w (Loss Aversion),post_std_w (Loss Aversion),ess_w (Loss Aversion),contraction_a (Learning Rate),post_std_a (Learning Rate),ess_a (Learning Rate),contraction_c (Consistency),post_std_c (Consistency),ess_c (Consistency),post_corr_A (Shape)_w (Loss Aversion),post_corr_A (Shape)_a (Learning Rate),post_corr_A (Shape)_c (Consistency),post_corr_w (Loss Aversion)_a (Learning Rate),post_corr_w (Loss Aversion)_c (Consistency),post_corr_a (Learning Rate)_c (Consistency),max_post_corr,mean_contraction,min_ess
0.8155236463943574,1.5025066117472956,0.4324343739979054,1.0197265570149403,0.671797636718668,0.16372516001214593,295.21179462282896,0.9734328930463032,0.2347913293149447,353.2185722890446,0.596775406013941,0.18147553199759842,321.72006577681464,0.08378971644881072,1.3788197755524159,301.31069125076414,0.5490259323415524,-0.6848278187083351,-0.7922452175818067,-0.9237003871475105,-0.3201585841351366,0.4302468012176677,0.9237003871475105,0.5814489130569307,295.21179462282896
0.3749115340189138,0.7682422585609096,0.8136064513972735,4.835912427613881,0.8752271183073717,0.10094961670182519,345.1131781723383,0.9925509723203013,0.12432535747226062,366.3778210736411,0.7032667808829838,0.15567814770025462,408.4396695358099,0.24965297338046044,1.2477885770944666,334.81413242556744,-0.29286948062424983,-0.31143828629946935,-0.8610874466231675,-0.7598375030976146,0.4010877427366226,0.14126787680145073,0.8610874466231675,0.7051744612227793,334.81413242556744
0.6432949034377774,4.620957476593605,0.20602090879549645,0.9056071028633914,0.6426096113994743,0.17085040236694773,231.39493228801874,0.7142835386900728,0.7699766478203154,277.96157951120847,0.63977910411417,0.1715256297801444,228.0871012449472,0.7115620575431094,0.7736350135868778,284.4322883059474,0.3101992693040255,-0.9704729812792905,-0.5166536005229061,-0.3026303368653559,-0.3416194545775368,0.4976484339050002,0.9704729812792905,0.6770585779367067,228.0871012449472
0.566088656712661,3.0308063116568835,0.8689968566545323,1.704358960092323,0.5855799695032791,0.1839775964372284,278.9502744660961,0.45490635536400337,1.0635195602652223,274.7095682784469,0.7183947372710031,0.15165787099056485,283.98353517914484,0.138957899776181,1.3366635826995736,247.42235583855856,-0.14489543795186016,-0.46415188750700886,-0.04135870532072187,-0.1685082179552891,-0.11847857333921775,0.0032348929371166847,0.46415188750700886,0.4744597404786166,247.42235583855856
0.8469567338221704,3.1752198143219506,0.5674268018871355,0.033317158424319565,0.8413682311950628,0.11382552313582066,253.18582894842345,0.6946981993154733,0.7959295073070639,330.54523625149596,0.7170527336331203,0.15201880798281148,348.1523925732008,0.9993410285965231,0.036977982011501244,254.85806789379362,-0.05247365406811424,-0.3067240056785252,-0.8019041764263573,-0.2650864501010184,-0.15064846705069332,0.009837374949590466,0.8019041764263573,0.8131150481850449,253.18582894842345
0.20516418235386766,0.6044262690261266,0.8261041625458362,0.9375126786932434,0.8862877455064851,0.09637140854920521,300.1058054054838,0.7856990578827687,0.6668404912229305,316.89057220060243,0.796796873386582,0.12882785167094463,379.9236322770909,0.9365846247513074,0.36274982026528624,284.01302224704847,-0.11134018745120021,-0.3676163484469808,-0.6823014885481683,-0.06807212711152463,-0.41054544886456945,0.17078270312399718,0.6823014885481683,0.8513420753817857,284.01302224704847
0.5903433056107035,3.5630388272925746,0.12749218191071474,3.096588242975584,0.9653695152447815,0.05318312554168345,385.57065422908255,0.7138225669800102,0.7705975333002442,327.99750309007425,0.9758871055976223,0.0443781551026426,409.6988327898903,0.5591188380207068,0.956468548942785,381.6797286504939,-0.18687254413577503,-0.910026457201112,0.13297462932572632,-0.10105215071240711,-0.12025494592735753,-0.13030085797768745,0.910026457201112,0.8035495064607803,327.99750309007425
0.7366004433750699,3.089421034852295,0.7653673754901777,3.739000306448582,0.5750534407446586,0.18629951751730334,280.38209241534264,0.4791680203415628,1.0395819823649093,323.3146595514697,0.745128448102675,0.14427970751707953,276.1151933651568,0.1357763592815283,1.339130783887258,339.77901196380867,-0.11531525400580767,-0.37149248224754,-0.17981306732438995,-0.10103219298503813,-0.04488608300085838,0.005770338244517275,0.37149248224754,0.4837815671176061,276.1151933651568
0.7072447967477465,4.346015719552837,0.5935228028572782,4.1915000108030265,0.5613753534937571,0.18927405528333088,247.10171938047097,0.4964936373049331,1.0221447541706703,247.7829503326754,0.7301318142608029,0.1484637466530093,256.8128914590064,0.12360853584867071,1.3485249687626144,279.8880793305384,-0.04727210961884276,-0.40599258141978734,-0.1174389096117822,-0.19310968073626247,-0.027709758396087372,-0.0966203243881148,0.40599258141978734,0.47790233522704095,247.10171938047097
0.9772934217981097,4.809244195497786,0.7973513974683695,2.8707762816653424,0.5619070823750103,0.18915929542853832,266.7922641496948,0.46780137754617457,1.0508646804323611,274.1177111295936,0.735913579391658,0.1468647622923427,325.5624018418846,0.07752440523044901,1.3835261278499376,285.2301086418543,-0.13671780483195523,-0.39846280063249345,-0.18142395051175603,-0.2274745137800744,-0.03525727485406831,-0.004005479757683079,0.39846280063249345,0.460786611135823,266.7922641496948
0.6325566483697129,0.5155998262065771,0.32596351713364713,0.2540537145613898,0.8841271893646753,0.09728263878329034,347.60384611484324,0.955188275099656,0.3049339315314955,442.3249861274192,0.8529956821900443,0.10957453014787759,342.0381767379884,0.9921060644126395,0.12798430421957868,373.6580264687107,-0.41590134511507915,-0.4568892290464963,-0.7152714612306011,0.03685565265663537,-0.11721208597487823,0.15523390016830446,0.7152714612306011,0.9211043027667537,342.0381767379884
0.059275150475974786,1.2606866146567608,0.9487499494489015,0.4330206744018952,0.4874391431035734,0.20460549354065652,271.10246186384734,0.4233528104322103,1.0938682387501752,217.62139053156275,0.3741464592616568,0.22608977849474793,293.0547332804684,0.9414941691909113,0.34842515190130746,247.15455674979026,-0.26750866190609907,-0.3161464464114559,-0.47771763464321415,-0.006552315080275807,-0.35199706360255045,-0.013926601047165362,0.47771763464321415,0.5566081454970879,217.62139053156275
0.5319157855399939,2.476435717349711,0.21259292644411842,2.5700536132836214,0.9210737093286623,0.08028888335617523,482.22090078990016,0.9538248339475567,0.30953813069130964,435.1400051018541,0.9326376930416742,0.07417423016669106,465.199473838601,0.5970790823182929,0.9143654968686519,443.06716796737254,0.3319326095949335,-0.9530778349680703,-0.22966242037424744,-0.4008210816897946,-0.3706794676841491,0.2655057637778313,0.9530778349680703,0.8511538296590465,435.1400051018541
0.3644222210485654,1.7639583694083802,0.096115030317436,0.5620966028472388,0.7635737052031315,0.13896084926170477,300.1302541582559,0.6185315317413731,0.8896910983822156,329.01791933738275,0.8760596807793242,0.10061225358945447,293.46480124489176,0.9765574303111219,0.22055277703799064,289.31442245373654,-0.4723815554370693,-0.6965280348644528,-0.6469030427427099,0.1967126957096199,-0.1932443727841829,0.40216187447151464,0.6965280348644528,0.8086805870087377,289.31442245373654
0.7470253686539963,0.01987890857434768,0.6479853816918213,1.8519233203056527,0.38754769676174317,0.2236560794322046,275.38585347957184,0.9073004690755081,0.4385798663463838,305.7871060381472,0.07988576760779742,0.27413560500349665,237.06529287158006,0.34319471511978195,1.1674229908237317,284.1039823394459,-0.10212902659897767,-0.16142888834127042,-0.32109424565176875,-0.5457312589922045,0.18582124243904044,-0.0376083854268725,0.5457312589922045,0.4294821621412077,237.06529287158006
0.19225824863595273,4.665684614022844,0.35885093174400057,4.303835386465808,0.9597465395988383,0.05733848078092833,373.01728797415535,0.7627745080257186,0.701601648177749,375.9791099783106,0.9442576685304247,0.06747410557226798,387.54955271510875,0.7373817418113342,0.7381971784198084,332.3977526596733,-0.24748293583857314,-0.8936230316464314,-0.33341290756606035,0.1865711254205022,-0.11378701251053472,0.3543950935389569,0.8936230316464314,0.8510401144915789,332.3977526596733
0.7962474947169661,4.423453596437401,0.0451513211287765,1.5768802872680219,0.9960706757878836,0.01791445101097477,453.43663192459246,0.9230361845696416,0.39962552268733065,398.681354124475,0.9987874632419638,0.009951579759646839,437.6488674437798,0.9012034961924742,0.4527731978649074,383.5215325842973,-0.6003258589762559,-0.8549486463366056,0.4539724598366769,0.5370186469832325,-0.415202877271732,-0.5964365342187835,0.8549486463366056,0.9547744549479908,383.5215325842973
0.07190678284764464,1.114750118490538,0.4780027533185599,4.141602068096717,0.9651589485007448,0.053344567494747454,440.73300440303467,0.9927194146455204,0.12291165641260345,480.1578701417934,0.9241157156210202,0.07872641822573394,543.1184920575635,0.7450014877414541,0.7274091269183286,454.96287481631936,-0.21131105825729313,-0.5117900834025731,-0.8082018416175765,-0.37632583824478494,-0.0355285585444538,0.3465247346939741,0.8082018416175765,0.9067488916271849,440.73300440303467
0.17996062796618753,0.4730987984980483,0.9015343320781084,3.1643753911666797,0.8992857681914955,0.09069638847804032,329.24616103477615,0.9889165520311357,0.15165172896297532,328.70541996222977,0.6879928594608093,0.15963453011030662,306.55908174468317,0.4740262356640256,1.0447008873892325,325.4936077517151,-0.33384296990388507,-0.36893141363136905,-0.8700624569534391,-0.6288845062349611,0.33554194930007125,0.24683679953933854,0.8700624569534391,0.7625553538368666,306.55908174468317
0.4874036921014124,0.6244814070617484,0.03296092618468489,4.519597288848948,0.3504498577559946,0.23033021483899835,280.7563534212566,0.9632586993791885,0.27611321041501996,317.98515450002293,0.16270858233386598,0.2615067428153268,252.04046912824506,0.2926443161995671,1.2115151416786325,307.5101437952702,-0.28940606636953853,-0.23394214316515113,-0.31560160793545045,-0.4150388855361797,0.22266401950162146,0.029912207599723798,0.4150388855361797,0.442265363917154,252.04046912824506
