$\lambda$ (Loss Aversion),$\rho$ (Perception Shape),$\alpha$ (Learning Rate),$f$ (Boredom Factor),$\beta$ (Exploration Weight)
0.1355951120223069,0.7977774613376002,0.486020758358477,0.07628520058028526,4.913711771038659
0.1215490255463643,0.7919858837149925,0.5420174860048544,0.09051119247298393,5.0
0.12611115222687472,0.7687653888517152,0.5160786600992884,0.0869554319485108,4.346714574720709
0.16596965240828632,0.7369644839830473,0.5057452697396996,0.07392745433466061,3.957706372266678
0.17997156624957417,0.7724702211493537,0.4332594948343827,0.07676389132920361,4.211943731964616
0.13933656908956704,0.7565861867893424,0.5272087598863419,0.08375930876332902,4.185385047957067
0.14051286040640798,0.7916204546731971,0.4792858217353126,0.07502249841080116,5.0
0.15751506342634475,0.7462515336727973,0.49153676506334293,0.09499956643557765,3.796896988898877
0.16509738525505516,0.7619098100191986,0.45725081281349406,0.07861586405501135,4.156335989567908
0.15524543864311274,0.7624794187906409,0.4800727969235549,0.07785913637700782,4.225819260213298
0.12331411947790578,0.7242455589291938,0.5737424786297783,0.08790986481017785,3.6520370157020636
0.1561768232942125,0.7745379671173382,0.4777195650138297,0.09265448133437387,4.380380248213687
0.20179226246848142,0.7633866795233848,0.438920539509626,0.06082221976208755,4.651560161948347
0.12885569023352403,0.8108866297727797,0.5152696500108962,0.0830713938122829,5.0
0.1706884490224636,0.7314733136462586,0.4935631177370692,0.07837870466088918,3.7699294810388424
0.14387503187550385,0.7868256258542637,0.5120466192452833,0.08591878807052065,4.654453346672219
0.1307232303165245,0.7741955300766739,0.5091710739505297,0.07767845832322412,4.589785510191939
0.14515477665269583,0.7505271515800114,0.4964845444346052,0.0892146529090695,3.962812223694627
0.1406759456036602,0.7700042494673477,0.48553459909098146,0.0841306320604507,4.427603978870789
0.13323745173553925,0.8050901698289721,0.5244745229278042,0.10869353017557873,5.0
0.13038945885094835,0.7348915993046005,0.5190928044033869,0.07269540748095876,3.833625962993629
0.15075114844991513,0.7782793197982298,0.4946471950880394,0.08580522256521424,4.7140747586177225
0.1547335126338672,0.731295060099045,0.5151404241213313,0.09685469449240366,3.744871801288786
0.14175178723921256,0.7966255324341351,0.5025067571877169,0.08489279447099254,4.846026665576796
0.12650534474403113,0.6901278652400458,0.5369038508408979,0.06920975263714096,2.939741933723726
0.14173509410472857,0.7752704340431357,0.48848870034490255,0.0847548013321576,4.5337565134035405
0.1577180843196372,0.7622026908057988,0.49661099109883095,0.08178110378810431,4.392906552315341
0.1576682087585811,0.7632980043087593,0.4942775592925538,0.07052367287700095,4.783249531216923
0.12935870311164513,0.7956745835295129,0.518790835084967,0.07717431743490008,5.0
0.16036644490494734,0.7339302820512802,0.49073266332806176,0.06954329499376678,3.807107908924212
0.1337935213835548,0.7786939578979478,0.5347286310015027,0.09038736112839925,4.378208727994906
0.13342369528889375,0.7656050495811617,0.5260670560680627,0.09061158271022027,4.2133422952058535
0.14446232543687446,0.7493641391204656,0.5035023397577872,0.08438841899655092,3.7922869713998804
0.1415835830891158,0.7377458162410047,0.5060618934050239,0.06005119174221122,4.172381432474102
0.11715094159261455,0.7595087214279157,0.553223320848426,0.09262185256206037,4.048471112823605
0.14554041864031506,0.7291621767716018,0.49888270126883727,0.11149797043551224,3.3257316446324516
0.17137813539404778,0.7155194655697056,0.4830469964288592,0.06675419769042824,3.5564139520217526
0.13551863322060648,0.7919501102116753,0.49244279997984375,0.07379842124861377,4.938084414339481
0.14802455091321676,0.7673346565457568,0.5159350794864102,0.07222212764807184,4.362334839218237
0.10278054929332814,0.7999688309348774,0.5820501403148208,0.10559162180055534,4.697660886029031
0.16943773482825394,0.7746660391080072,0.45768582012244624,0.08710646435906753,4.594159692862566
0.1701697789021778,0.734864835171156,0.4413939179490176,0.0848936766785984,3.5556873078834808
0.13242509296107322,0.7977439954559941,0.5177791284510249,0.09937782626250175,4.6845317442393775
0.15673882328623326,0.759160358622365,0.5048538431607129,0.06352905568298248,4.475733441025334
0.14519699839552072,0.755798452195087,0.5388101877858142,0.09741305006243432,3.959475163235759
0.16202029366005324,0.7523231980568864,0.4798370847148655,0.07321715994746951,4.046065810897714
0.14166224893889542,0.7389832559969305,0.5089697545344515,0.08477903345342032,3.850443449044093
0.1432403997080214,0.7381637673983749,0.5171434949087811,0.07388638130124421,3.9903524266948893
0.12441831749164563,0.8219395478992301,0.5006701619944445,0.08198329202279521,4.984242248374717
0.11769426048084512,0.7949028823687166,0.5355345543151583,0.09151057130813282,4.833639448062619
0.16762379495550825,0.7354282403985103,0.47653383660658005,0.08236415656106064,3.4327864763667315
0.15189087696098433,0.7631035471754823,0.521498754077648,0.08596440558999052,4.432226985541306
0.12923738519045166,0.7576447922065808,0.550545146906454,0.08564059978350413,4.364272753118404
0.1520047299590897,0.7637362635047793,0.5216490822130304,0.09370755238053789,4.308169829047409
0.1517686027598147,0.7692318555075478,0.48632551901698,0.07986787993398116,4.525441539539348
0.1550222196469626,0.7811791828943725,0.48128875651898295,0.06563708197460552,5.0
0.15185715172340436,0.7846969522929446,0.4879891964964969,0.07532372216875857,4.703087253062147
0.14674873725757542,0.7800865805192355,0.5090563199243667,0.08919803307821654,4.685841772092089
0.16719596941104492,0.7229760387692838,0.49586422230965344,0.08128505654255312,3.546215275502011
0.11205595187064528,0.7898461881224872,0.5944481558516763,0.08827626455769855,5.0
0.15633420614209398,0.7310861233302868,0.5024601780559714,0.12522681946934364,3.188325086512032
0.1558815335821025,0.7186348916464027,0.5271415135433231,0.09338732640042774,3.444957965182048
0.16031665780341864,0.7658989047026212,0.4823397977848903,0.10416315319392494,3.836861383107701
0.15046038868515627,0.7816185241391742,0.49734353555826505,0.07196015405418457,4.790904489973873
0.14155172886921885,0.7850900541772258,0.48390443386094834,0.06108283137985771,5.0
0.13933754998725764,0.7675942423803286,0.5090476794835265,0.08509020628482564,4.32966848366847
0.14059061080554508,0.7443605858144843,0.5282188502528687,0.08623237733937546,3.856618688262095
0.15171091317988508,0.7341126529947755,0.49449077716402945,0.06438546642670323,3.9614344510508652
0.12404988453440757,0.8066594900686572,0.49450847935361614,0.08434730334375794,5.0
0.10978948354709536,0.7229996688399617,0.5576564385670315,0.08647245647588193,3.458856772723892
0.1822417152573075,0.7450962714694421,0.44519853871812715,0.05332398830669917,4.2275696014699395
0.16658011288574556,0.7454467125290077,0.4755294449190804,0.07465151016448514,3.9536299244455755
0.16053546459671178,0.7572054596831538,0.49283225373330297,0.11281159141996162,3.8392195183483597
0.13397985526575132,0.808243959339028,0.5076297942600518,0.06733286172371147,5.0
0.18461164689946755,0.7130044428954713,0.4692775945217398,0.06863497336525898,3.3826966496640396
0.17958970495247184,0.764762535968822,0.4588121199863272,0.07150335854868385,4.350980281872649
0.11549024789359305,0.7478455548539688,0.5360504691813563,0.07021596909938124,4.126283166336801
0.14855316262344506,0.7207069797233083,0.4986615616616402,0.07227330707316001,3.6476426338971732
0.1323751037349818,0.7904394399926677,0.5142733224206151,0.07370343105394639,5.0
0.13363095257029953,0.7370234449897922,0.5324175696603274,0.09875240154610267,3.6333611005223734
0.16465010889932621,0.749989248183253,0.49331889508051247,0.07315479615908092,4.070437460949258
0.1451471806744124,0.7864219781976616,0.4889732752236339,0.08602298550787732,4.351667077136772
0.14761867367714424,0.741142969859722,0.5021793564060975,0.0945059698752906,3.6681785000234792
0.1390868326768063,0.7371792440996364,0.5147408054280743,0.08375349356154839,3.7211345204049953
0.19961571312017956,0.739445810361984,0.4402491250893079,0.10572121869039039,3.482293427187953
0.2041106571403673,0.6992948588474766,0.45054765991247664,0.0770896536373718,3.269098736498683
0.13055985174323967,0.7753511901975934,0.509407144141642,0.10066805365535383,4.086310134519924
0.14322226143035552,0.7689944181303631,0.5072940905683239,0.08754492503615188,4.331253660367364
